time,episode,wins,winrate
18:35:50,0,1,1.0
18:35:51,1,2,1.0
18:35:51,2,3,1.0
18:35:52,3,4,1.0
18:35:52,4,5,1.0
18:35:52,5,6,1.0
18:35:53,6,7,1.0
18:35:53,7,8,1.0
18:35:53,8,9,1.0
18:35:53,9,10,1.0
18:35:53,10,11,1.0
18:35:54,11,12,1.0
18:35:54,12,13,1.0
18:35:54,13,14,1.0
18:35:54,14,15,1.0
18:35:55,15,16,1.0
18:35:55,16,17,1.0
18:35:55,17,18,1.0
18:35:55,18,19,1.0
18:35:56,19,20,1.0
18:35:56,20,21,1.0
18:35:56,21,22,1.0
18:35:56,22,23,1.0
18:35:57,23,24,1.0
18:35:57,24,25,1.0
time,episode,wins,winrate
18:36:55,0,1,1.0
18:36:56,1,1,0.5
18:36:57,2,1,0.3333333333333333
18:36:59,3,1,0.25
18:37:01,4,1,0.2
18:37:02,5,1,0.16666666666666666
18:37:03,6,1,0.14285714285714285
18:37:04,7,2,0.25
18:37:06,8,2,0.2222222222222222
18:37:08,9,2,0.2
18:37:09,10,2,0.18181818181818182
18:37:10,11,2,0.16666666666666666
18:37:12,12,2,0.15384615384615385
18:37:14,13,3,0.21428571428571427
18:37:15,14,3,0.2
18:37:16,15,3,0.1875
18:37:16,16,3,0.17647058823529413
18:37:18,17,3,0.16666666666666666
18:37:18,18,3,0.15789473684210525
18:37:19,19,3,0.15
18:37:20,20,3,0.14285714285714285
18:37:22,21,3,0.13636363636363635
18:37:24,22,4,0.17391304347826086
18:37:25,23,4,0.16666666666666666
18:37:26,24,4,0.16
18:37:28,25,5,0.19230769230769232
18:37:29,26,5,0.18518518518518517
18:37:30,27,5,0.17857142857142858
18:37:31,28,5,0.1724137931034483
18:37:32,29,5,0.16666666666666666
18:37:34,30,6,0.1935483870967742
18:37:35,31,6,0.1875
18:37:36,32,6,0.18181818181818182
18:37:37,33,6,0.17647058823529413
18:37:38,34,6,0.17142857142857143
18:37:39,35,6,0.16666666666666666
18:37:40,36,6,0.16216216216216217
18:37:41,37,6,0.15789473684210525
18:37:43,38,6,0.15384615384615385
18:37:43,39,6,0.15
18:37:44,40,6,0.14634146341463414
18:37:46,41,6,0.14285714285714285
18:37:48,42,6,0.13953488372093023
18:37:49,43,6,0.13636363636363635
18:37:50,44,6,0.13333333333333333
18:37:51,45,6,0.13043478260869565
18:37:52,46,6,0.1276595744680851
18:37:53,47,6,0.125
18:37:54,48,6,0.12244897959183673
18:37:55,49,6,0.12
18:37:57,50,6,0.11764705882352941
18:37:59,51,6,0.11538461538461539
18:38:00,52,6,0.11320754716981132
18:38:02,53,7,0.12962962962962962
18:38:04,54,7,0.12727272727272726
18:38:06,55,7,0.125
18:38:07,56,7,0.12280701754385964
18:38:08,57,7,0.1206896551724138
18:38:10,58,7,0.11864406779661017
18:38:11,59,7,0.11666666666666667
18:38:13,60,8,0.13114754098360656
18:38:14,61,8,0.12903225806451613
18:38:16,62,8,0.12698412698412698
18:38:17,63,8,0.125
18:38:17,64,8,0.12307692307692308
18:38:19,65,8,0.12121212121212122
18:38:20,66,8,0.11940298507462686
18:38:21,67,8,0.11764705882352941
18:38:22,68,8,0.11594202898550725
18:38:23,69,8,0.11428571428571428
18:38:24,70,8,0.11267605633802817
18:38:25,71,8,0.1111111111111111
18:38:26,72,8,0.1095890410958904
18:38:28,73,8,0.10810810810810811
18:38:29,74,8,0.10666666666666667
18:38:30,75,8,0.10526315789473684
18:38:31,76,8,0.1038961038961039
18:38:32,77,8,0.10256410256410256
18:38:33,78,8,0.10126582278481013
18:38:34,79,8,0.1
18:38:35,80,8,0.09876543209876543
18:38:37,81,8,0.0975609756097561
18:38:38,82,8,0.0963855421686747
18:38:40,83,8,0.09523809523809523
18:38:41,84,8,0.09411764705882353
18:38:43,85,8,0.09302325581395349
18:38:44,86,8,0.09195402298850575
18:38:45,87,8,0.09090909090909091
18:38:47,88,8,0.0898876404494382
18:38:47,89,8,0.08888888888888889
18:38:48,90,8,0.08791208791208792
18:38:49,91,8,0.08695652173913043
18:38:50,92,8,0.08602150537634409
18:38:52,93,8,0.0851063829787234
18:38:52,94,8,0.08421052631578947
18:38:54,95,8,0.08333333333333333
18:38:56,96,8,0.08247422680412371
18:38:58,97,8,0.08163265306122448
18:39:00,98,8,0.08080808080808081
18:39:00,99,8,0.08
18:39:03,100,8,0.07920792079207921
18:39:04,101,8,0.0784313725490196
18:39:06,102,8,0.07766990291262135
18:39:07,103,8,0.07692307692307693
18:39:08,104,8,0.0761904761904762
18:39:10,105,8,0.07547169811320754
18:39:11,106,8,0.07476635514018691
18:39:12,107,8,0.07407407407407407
18:39:13,108,8,0.07339449541284404
18:39:15,109,8,0.07272727272727272
18:39:16,110,8,0.07207207207207207
18:39:17,111,8,0.07142857142857142
18:39:18,112,8,0.07079646017699115
18:39:19,113,8,0.07017543859649122
18:39:20,114,8,0.06956521739130435
18:39:22,115,8,0.06896551724137931
18:39:22,116,8,0.06837606837606838
18:39:23,117,8,0.06779661016949153
18:39:25,118,8,0.06722689075630252
18:39:26,119,8,0.06666666666666667
18:39:27,120,8,0.06611570247933884
18:39:28,121,8,0.06557377049180328
18:39:29,122,8,0.06504065040650407
18:39:30,123,8,0.06451612903225806
18:39:32,124,9,0.072
18:39:34,125,9,0.07142857142857142
18:39:35,126,9,0.07086614173228346
18:39:36,127,10,0.078125
18:39:37,128,10,0.07751937984496124
18:39:39,129,10,0.07692307692307693
18:39:40,130,10,0.07633587786259542
18:39:41,131,10,0.07575757575757576
18:39:43,132,10,0.07518796992481203
18:39:44,133,10,0.07462686567164178
18:39:45,134,10,0.07407407407407407
18:39:46,135,10,0.07352941176470588
18:39:47,136,10,0.072992700729927
18:39:49,137,10,0.07246376811594203
18:39:49,138,10,0.07194244604316546
18:39:50,139,10,0.07142857142857142
18:39:52,140,10,0.07092198581560284
18:39:53,141,10,0.07042253521126761
18:39:55,142,11,0.07692307692307693
18:39:57,143,11,0.0763888888888889
18:39:58,144,12,0.08275862068965517
18:39:59,145,12,0.0821917808219178
18:40:00,146,12,0.08163265306122448
18:40:02,147,12,0.08108108108108109
18:40:04,148,12,0.08053691275167785
18:40:05,149,12,0.08
18:40:06,150,12,0.07947019867549669
18:40:08,151,12,0.07894736842105263
18:40:08,152,12,0.0784313725490196
18:40:10,153,12,0.07792207792207792
18:40:11,154,12,0.07741935483870968
18:40:12,155,12,0.07692307692307693
18:40:13,156,12,0.07643312101910828
18:40:15,157,12,0.0759493670886076
18:40:15,158,12,0.07547169811320754
18:40:17,159,12,0.075
18:40:18,160,12,0.07453416149068323
18:40:19,161,12,0.07407407407407407
18:40:19,162,12,0.0736196319018405
18:40:21,163,12,0.07317073170731707
18:40:22,164,12,0.07272727272727272
18:40:24,165,12,0.07228915662650602
18:40:25,166,12,0.0718562874251497
18:40:26,167,12,0.07142857142857142
18:40:26,168,12,0.07100591715976332
18:40:29,169,12,0.07058823529411765
18:40:30,170,12,0.07017543859649122
18:40:31,171,12,0.06976744186046512
