time,episode,wins,winrate
11:48:19,0,0,0.0
11:48:19,1,0,0.0
11:48:20,2,1,0.3333333333333333
11:48:21,3,2,0.5
11:48:21,4,3,0.6
11:48:22,5,3,0.5
11:48:23,6,3,0.42857142857142855
11:48:23,7,4,0.5
11:48:24,8,5,0.5555555555555556
11:48:25,9,5,0.5
11:48:25,10,6,0.5454545454545454
11:48:26,11,7,0.5833333333333334
11:48:27,12,8,0.6153846153846154
11:48:27,13,8,0.5714285714285714
11:48:28,14,8,0.5333333333333333
11:48:28,15,9,0.5625
11:48:29,16,9,0.5294117647058824
11:48:30,17,9,0.5
11:48:30,18,10,0.5263157894736842
11:48:31,19,10,0.5
11:48:31,20,10,0.47619047619047616
11:48:32,21,10,0.45454545454545453
11:48:33,22,10,0.43478260869565216
11:48:33,23,10,0.4166666666666667
11:48:34,24,11,0.44
11:48:34,25,12,0.46153846153846156
11:48:35,26,13,0.48148148148148145
11:48:36,27,13,0.4642857142857143
11:48:36,28,14,0.4827586206896552
11:48:37,29,15,0.5
11:48:37,30,16,0.5161290322580645
11:48:38,31,17,0.53125
11:48:39,32,17,0.5151515151515151
11:48:39,33,18,0.5294117647058824
11:48:40,34,19,0.5428571428571428
11:48:40,35,19,0.5277777777777778
11:48:41,36,19,0.5135135135135135
11:48:41,37,20,0.5263157894736842
11:48:42,38,21,0.5384615384615384
11:48:43,39,21,0.525
11:48:43,40,22,0.5365853658536586
11:48:44,41,22,0.5238095238095238
11:48:44,42,23,0.5348837209302325
11:48:45,43,24,0.5454545454545454
11:48:45,44,25,0.5555555555555556
11:48:46,45,26,0.5652173913043478
11:48:47,46,26,0.5531914893617021
11:48:47,47,27,0.5625
11:48:48,48,28,0.5714285714285714
11:48:49,49,29,0.58
11:48:49,50,30,0.5882352941176471
11:48:50,51,31,0.5961538461538461
11:48:51,52,31,0.5849056603773585
11:48:51,53,31,0.5740740740740741
11:48:52,54,32,0.5818181818181818
11:48:52,55,33,0.5892857142857143
11:48:53,56,34,0.5964912280701754
11:48:54,57,35,0.603448275862069
11:48:55,58,36,0.6101694915254238
11:48:55,59,37,0.6166666666666667
11:48:55,60,38,0.6229508196721312
11:48:56,61,38,0.6129032258064516
11:48:57,62,39,0.6190476190476191
11:48:58,63,40,0.625
11:48:59,64,41,0.6307692307692307
11:48:59,65,41,0.6212121212121212
11:49:00,66,41,0.6119402985074627
11:49:01,67,42,0.6176470588235294
11:49:01,68,43,0.6231884057971014
11:49:02,69,44,0.6285714285714286
11:49:02,70,44,0.6197183098591549
11:49:03,71,44,0.6111111111111112
11:49:04,72,45,0.6164383561643836
11:49:04,73,46,0.6216216216216216
11:49:05,74,47,0.6266666666666667
11:49:05,75,48,0.631578947368421
11:49:06,76,49,0.6363636363636364
11:49:07,77,50,0.6410256410256411
11:49:07,78,50,0.6329113924050633
11:49:08,79,50,0.625
11:49:09,80,51,0.6296296296296297
11:49:09,81,51,0.6219512195121951
11:49:10,82,52,0.6265060240963856
11:49:10,83,52,0.6190476190476191
11:49:11,84,53,0.6235294117647059
11:49:12,85,53,0.6162790697674418
11:49:12,86,54,0.6206896551724138
11:49:13,87,55,0.625
11:49:14,88,55,0.6179775280898876
11:49:15,89,56,0.6222222222222222
11:49:15,90,57,0.6263736263736264
11:49:16,91,58,0.6304347826086957
11:49:16,92,58,0.6236559139784946
11:49:17,93,59,0.6276595744680851
11:49:18,94,59,0.6210526315789474
11:49:18,95,60,0.625
11:49:19,96,60,0.6185567010309279
11:49:20,97,61,0.6224489795918368
11:49:21,98,62,0.6262626262626263
11:49:21,99,63,0.63
11:49:22,100,64,0.6336633663366337
11:49:22,101,64,0.6274509803921569
11:49:23,102,65,0.6310679611650486
11:49:24,103,65,0.625
11:49:24,104,65,0.6190476190476191
11:49:25,105,65,0.6132075471698113
11:49:26,106,66,0.616822429906542
11:49:26,107,67,0.6203703703703703
11:49:27,108,68,0.6238532110091743
11:49:28,109,69,0.6272727272727273
11:49:28,110,70,0.6306306306306306
11:49:29,111,71,0.6339285714285714
11:49:30,112,71,0.6283185840707964
11:49:30,113,71,0.6228070175438597
11:49:31,114,71,0.6173913043478261
11:49:31,115,72,0.6206896551724138
11:49:32,116,73,0.6239316239316239
11:49:33,117,73,0.6186440677966102
11:49:34,118,74,0.6218487394957983
11:49:34,119,74,0.6166666666666667
11:49:35,120,74,0.6115702479338843
11:49:35,121,75,0.6147540983606558
11:49:36,122,76,0.6178861788617886
11:49:37,123,77,0.6209677419354839
11:49:37,124,78,0.624
11:49:38,125,78,0.6190476190476191
11:49:39,126,78,0.6141732283464567
11:49:39,127,79,0.6171875
11:49:40,128,80,0.6201550387596899
11:49:40,129,81,0.6230769230769231
11:49:41,130,82,0.6259541984732825
11:49:42,131,82,0.6212121212121212
11:49:42,132,83,0.6240601503759399
11:49:43,133,83,0.6194029850746269
11:49:43,134,83,0.6148148148148148
11:49:44,135,83,0.6102941176470589
11:49:44,136,84,0.6131386861313869
11:49:45,137,84,0.6086956521739131
11:49:45,138,84,0.60431654676259
11:49:46,139,84,0.6
11:49:47,140,85,0.6028368794326241
11:49:47,141,86,0.6056338028169014
11:49:48,142,87,0.6083916083916084
11:49:49,143,88,0.6111111111111112
11:49:49,144,89,0.6137931034482759
11:49:50,145,89,0.6095890410958904
11:49:50,146,90,0.6122448979591837
11:49:51,147,91,0.6148648648648649
11:49:52,148,92,0.6174496644295302
11:49:52,149,93,0.62
11:49:53,150,94,0.6225165562913907
11:49:53,151,95,0.625
11:49:54,152,96,0.6274509803921569
11:49:54,153,97,0.6298701298701299
11:49:55,154,98,0.632258064516129
11:49:55,155,99,0.6346153846153846
11:49:56,156,100,0.6369426751592356
11:49:57,157,100,0.6329113924050633
11:49:57,158,100,0.6289308176100629
11:49:58,159,101,0.63125
11:49:58,160,101,0.6273291925465838
11:49:59,161,101,0.6234567901234568
11:50:00,162,102,0.6257668711656442
11:50:00,163,102,0.6219512195121951
